Fecha,Caudalímetro 5,Consumo de energía sin restabecim. RTAE 5,Cto.1 Número de arranques del compresor,Cto.1 Presión del refrigerante del condensador,Cto.1 Presión del refrigerante del evaporador,Cto.1 Temperatura de saturación del refrigerante del condensador,Cto.1 Temperatura de saturación del refrigerante del evaporador,Cto.1 Tiempo de operación del compresor,Cto.2 Número de arranques del compresor,Cto.2 Presión del refrigerante del condensador,Cto.2 Presión del refrigerante del evaporador,Cto.2 Temperatura de saturación de refrigerante de evaporador,Cto.2 Temperatura de saturación de refrigerante del condensador,Cto.2 Tiempo de operación del compresor,Punto de ajuste activo de agua helada,Temperatura de entrada de agua,Temperatura de salida de agua,Temperatura del medio ambiente,iso_anomaly
2025-03-05,251.0,8653106.0,5367.0,1756.0,288.0,64.0,8.0,56618.0,4490.0,1862.0,296.0,8.7,66.0,52678.0,9.5,12.6,11.3,28.0,False
2025-03-06,249.0,8659826.0,5367.0,1765.0,287.0,64.0,8.3,56644.0,4490.0,1819.0,295.0,8.6,65.0,52705.0,9.5,12.6,11.5,27.0,False
2025-03-07,251.0,8665380.0,5367.0,1765.0,287.0,64.0,8.3,56644.0,4491.0,1944.0,289.0,8.2,68.5,52728.0,9.5,14.3,12.6,28.0,True
2025-03-08,250.0,8668920.0,5368.0,1122.0,272.0,47.0,6.9,56686.0,4492.0,1284.0,280.0,7.5,51.0,52747.0,9.5,12.0,9.6,16.0,False
2025-03-10,131.0,8680537.0,5369.0,1545.0,254.0,59.0,5.6,56738.0,4492.0,1284.0,280.0,7.5,51.0,52747.0,8.5,11.4,10.1,27.0,False
2025-03-11,242.0,8684058.0,5370.0,1694.0,289.0,62.0,8.3,56762.0,4497.0,1753.0,299.0,8.9,64.0,52797.0,9.5,13.0,11.8,28.0,False
2025-03-12,234.0,8689349.0,5370.0,1566.0,270.0,60.0,6.8,56785.0,4497.0,1707.0,279.0,7.4,63.0,52820.0,9.5,11.7,11.0,29.0,False
2025-03-13,243.0,8694573.0,5370.0,1761.0,284.0,63.7,7.8,56809.0,4497.0,1935.0,294.0,8.4,67.8,52844.0,9.5,12.4,11.7,31.0,False
2025-03-14,243.0,8699576.0,5370.0,1596.0,276.0,60.0,7.2,56833.0,4497.0,1831.0,285.0,7.9,65.0,52868.0,9.5,11.8,11.3,33.0,False
2025-03-15,246.0,8703273.0,5370.0,1353.0,268.0,53.0,6.6,56851.0,4497.0,1472.0,276.0,7.6,57.0,52886.0,9.5,11.9,9.6,18.0,False
